Week Num,Location,Set,Bottle,Date,Time,Sample Type,F (mg/L),CL (mg/L),NO2 (mg/L),NO3 (mg/L),SO4 (mg/L),SIO2 (mg/L),NH3 (mg/L),SRP (mg/L),TP (mg/L),TKN (mg/L),SS (mg/L),NPOC (mg/L),TN (mg/L),COND (mჾ)
1,MBG,RF,1,09/26/22,1200,SAMPLE,0.52,63,0,0,80.7,1.3262,0.0708,0.01,0.1618,1.163,30.62,-9,-9,-9
1,MBG,RF,3,09/27/22,0400,SAMPLE,0.49,61.4,0.26,0,80.2,1.6908,0.0848,0.0196,0.1559,1.025,30.04,-9,-9,-9
1,MBG,RF,6,09/28/22,0400,SAMPLE,0.5,61.4,0,0,82.7,2.1177,0.0739,0.0206,0.1576,1.126,28.93,-9,-9,-9
1,MBG,RF,9,09/29/22,0400,SAMPLE,0.52,63.1,0,0,85.9,1.5911,0.0636,0.0035,0.1506,1.14,27.43,-9,-9,-9
1,MBG,RF,24,10/03/22,0922,BOTH,0.49,61.2,0,0,86.9,0.0504,0.0144,-0.0008,0.1496,1.293,34.67,-9,-9,-9
3,MBG,RQ,1,10/10/22,1200,SAMPLE,0.43,50.8,0,0.14,67.7,0.5218,0.2083,0.0165,0.2098,1.376,53.06,-9,-9,-9
3,MBG,RQ,4,10/11/22,1200,SAMPLE,0.45,53.7,0,0.11,70.1,0.8421,0.1961,0.0138,0.1504,1.226,22.16,-9,-9,-9
3,MBG,RQ,7,10/12/22,1200,SAMPLE,0.45,53,0,0.09,69.7,1.1824,0.162,0.004,0.1564,1.205,33.85,-9,-9,-9
3,MBG,RQ,10,10/13/22,1200,SAMPLE,0.42,50.5,0,0.1,66.6,1.0771,0.1566,0.0018,0.1517,1.359,29.89,-9,-9,-9
3,MBG,RQ,13,10/14/22,1200,SAMPLE,0.44,49.9,0,0.11,66.7,1.2325,0.1091,0.002,0.143,1.427,20.71,-9,-9,-9
3,MBG,RQ,16,10/15/22,1200,SAMPLE,0.41,48.8,0,0.1,64.3,1.134,0.0517,-0.0002,0.1432,1.255,25.16,-9,-9,-9
3,MBG,RQ,19,10/16/22,1200,SAMPLE,0.41,47.8,0,0.11,64.6,1.168,0.0321,-0.0008,0.133,1.269,21.68,-9,-9,-9
3,MBG,RQ,24,10/17/22,0930,BOTH,0.42,48.8,0,0,66.7,0.9314,0.0175,0.0025,0.1524,1.282,34.99,-9,-9,-9
4,MBG,RI,1,10/17/22,1200,SAMPLE,-9,-9,-9,-9,-9,0.9074,0.1308,-0.0241,0.1339,1.309,34.12,-9,-9,-9
4,MBG,RI,4,10/18/22,1200,SAMPLE,0.34,46.6,0,0,62.4,0.9636,0.1365,-0.0255,0.1307,1.212,25.81,-9,-9,-9
4,MBG,RI,7,10/19/22,1200,SAMPLE,0.33,46.3,0,0.15,58.9,1.2759,0.1319,-0.0251,0.1158,1.14,17.96,-9,-9,-9
4,MBG,RI,10,10/20/22,1200,SAMPLE,0.33,45.7,0,0.18,58.9,1.4466,0.1197,-0.0259,0.1064,1.093,13.76,-9,-9,-9
4,MBG,RI,13,10/21/22,1200,SAMPLE,0.38,47.8,0,0,64.6,1.0093,0.0318,-0.0225,0.1215,1.203,22.65,-9,-9,-9
